#IIR filter - Error log file

Expected		Simulated		Error
0				0				0
128				128				0
288				288				0
544				544				0
800				800				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0
-32				-32				0
320				320				0
576				576				0
832				832				0
928				928				0
1024			1024			0
928				928				0
832				832				0
576				576				0
320				320				0
0				0				0
-320			-320			0
-608			-608			0
-864			-864			0
-992			-992			0
-1056			-1056			0
-992			-992			0
-832			-832			0
-608			-608			0
-352			-352			0

Total error : 0
