#IIR filter - Error log file

Expected		Simulated		Error
0				0				0
128				128				0
288				288				0
544				544				0
768				768				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
192				192				0
512				512				0
704				704				0
864				864				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
192				192				0
512				512				0
704				704				0
864				864				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0
-96				-96				0
224				224				0
544				544				0
736				736				0
896				896				0
960				960				0
864				864				0
736				736				0
512				512				0
256				256				0
-64				-64				0
-416			-416			0
-672			-672			0
-896			-896			0
-1056			-1056			0
-1088			-1088			0
-1056			-1056			0
-960			-960			0
-672			-672			0
-416			-416			0

Total error : 0
